Wall time,Step,Value
1772225087.268952,1067,9.62622943916358e-05
1772225087.347827,1069,4.947099296259694e-05
1772225087.387184,1070,4.3297361116856337e-05
1772225087.427896,1071,3.392246435396373e-05
1772225087.471559,1072,5.4041014664107934e-05
1772225087.512399,1073,3.842742080450989e-05
1772225087.554051,1074,5.628240978694521e-05
1772225087.674157,1077,9.881741425488144e-05
1772225087.716918,1078,0.00016487578977830708
1772225087.79915,1080,0.00026124221039935946
1772225087.839861,1081,0.0008057759841904044
1772225087.879837,1082,0.0005142537993378937
1772225087.999858,1085,0.0013201069086790085
1772225088.039801,1086,0.0010773693211376667
1772225088.081648,1087,0.000960210629273206
1772225088.247725,1091,0.0036344544496387243
1772225088.288174,1092,0.002805647673085332
1772225088.328066,1093,0.0029607093892991543
1772225088.537977,1098,0.0019725507590919733
1772225088.616917,1100,0.005838414654135704
1772225088.696339,1102,0.008208096958696842
1772225088.737174,1103,0.010982471518218517
1772225088.77764,1104,0.009605031460523605
1772225088.902629,1107,0.0035625097807496786
1772225088.9482,1108,0.003078659065067768
1772225088.991746,1109,0.0023430667351931334
1772225089.037613,1110,0.002254198072478175
1772225089.083295,1111,0.0033265792299062014
1772225089.127884,1112,0.004041329491883516
1772225089.168946,1113,0.00480929110199213
1772225089.213969,1114,0.003456109669059515
1772225089.299844,1116,0.010025457479059696
1772225089.422497,1119,0.008751179091632366
1772225089.502535,1121,0.008943991735577583
1772225089.543424,1122,0.010198391042649746
1772225089.66412,1125,0.007870486006140709
1772225089.704511,1126,0.005032962653785944
1772225089.789652,1128,0.002088362816721201
1772225089.831404,1129,0.0007188692688941956
1772225089.873291,1130,0.001482669496908784
1772225089.91672,1131,0.0012930367374792695
1772225089.959926,1132,0.0008444199338555336
1772225090.044346,1134,0.00045703581417910755
1772225090.084943,1135,0.0003224276879336685
1772225090.125097,1136,0.0003109450335614383
1772225090.245933,1139,0.0002597826824057847
1772225090.369251,1142,0.00012106930080335587
1772225090.493906,1145,0.00017248016956727952
1772225090.536582,1146,8.865598647389561e-05
1772225090.620967,1148,0.00014598474081140012
1772225090.664829,1149,0.0002560407156124711
1772225090.708035,1150,0.0004012524150311947
1772225090.749846,1151,0.0006180812488310039
1772225090.790484,1152,0.0005909042083658278
1772225090.830821,1153,0.0011206561466678977
1772225090.913455,1155,0.0010453028371557593
1772225091.117434,1160,0.001848605927079916
1772225091.199844,1162,0.0020294231362640858
1772225091.283247,1164,0.0024921365547925234
1772225091.366169,1166,0.0018685233080759645
1772225091.406842,1167,0.004417978692799807
1772225091.653491,1173,0.0051911803893744946
1772225091.695932,1174,0.005806946195662022
1772225091.776099,1176,0.004050488118082285
1772225091.816584,1177,0.002469198778271675
1772225091.859286,1178,0.001684764283709228
1772225092.020941,1182,0.00033321461523883045
1772225092.102828,1184,0.0002472460037097335
1772225092.185312,1186,0.00017119603580795228
1772225092.266895,1188,0.0002489628386683762
1772225092.307468,1189,0.00019439206516835839
1772225092.347336,1190,0.0001389650715282187
1772225092.467152,1193,0.0002105604944517836
1772225092.507297,1194,0.00036118095158599317
1772225092.547008,1195,0.0008651021053083241
1772225092.628429,1197,0.0009827014291658998
1772225092.668708,1198,0.0009488139767199755
1772225092.788842,1201,0.0008884842973202467
1772225092.829556,1202,0.000800152076408267
1772225092.950995,1205,0.0002638542791828513
1772225092.993405,1206,0.0003517520090099424
1772225093.034532,1207,0.0003632699081208557
1772225093.116913,1209,0.00037691841134801507
1772225093.286167,1213,0.0005083573050796986
1772225093.326478,1214,0.0009816500823944807
1772225093.367174,1215,0.000785849173553288
1772225093.451107,1217,0.0009432536317035556
1772225093.492048,1218,0.0013768472708761692
1772225093.701832,1223,0.001516242977231741
1772225093.784244,1225,0.002295762300491333
1772225093.910628,1228,0.0009017937118187547
1772225093.953156,1229,0.0005666221841238439
1772225094.076719,1232,0.0007500877836719155
1772225094.121588,1233,0.0006004018941894174
1772225094.328919,1238,0.0022551300935447216
1772225094.408372,1240,0.002560245804488659
1772225094.448354,1241,0.005101495888084173
1772225094.491814,1242,0.007755650673061609
1772225094.535275,1243,0.01055847480893135
1772225094.578643,1244,0.009534788317978382
1772225094.619396,1245,0.008769373409450054
1772225094.66059,1246,0.01907070353627205
1772225094.781418,1249,0.008684479631483555
1772225094.822911,1250,0.013737642206251621
1772225094.865918,1251,0.010101450607180595
1772225094.907036,1252,0.00470073102042079
1772225094.992638,1254,0.0014847592683508992
1772225095.0771,1256,0.00231380108743906
1772225095.11949,1257,0.0016214444767683744
1772225095.248135,1260,0.00170626409817487
1772225095.292301,1261,0.0015178608009591699
1772225095.414347,1264,0.0018916046246886253
1772225095.535097,1267,0.002311977092176676
1772225095.698323,1271,0.0011884992709383368
1772225095.898206,1276,0.0011163523886352777
1772225095.938943,1277,0.0011292145354673266
1772225095.979909,1278,0.0011168121127411723
1772225096.143405,1282,0.0011909336317330599
1772225096.263905,1285,0.0007700581918470562
1772225096.467634,1290,0.0004125490668229759
1772225096.591283,1293,0.0003573878202587366
1772225096.712307,1296,0.0002302196662640199
1772225096.793172,1298,0.00032533606281504035
1772225096.833519,1299,0.0003998461179435253
1772225096.956265,1302,0.00041837446042336524
1772225097.124072,1306,0.00017441913951188326
1772225097.292356,1310,0.0001818747987272218
1772225097.462492,1314,0.00013983908866066486
1772225097.502588,1315,0.00024221859348472208
1772225097.712722,1320,0.00025842952891252935
1772225097.794007,1322,0.00010831911640707403
1772225097.835038,1323,0.0002638103615026921
1772225097.917219,1325,0.0001625607255846262
1772225097.9583,1326,0.00018372452177572995
1772225098.039298,1328,0.00032120125251822174
1772225098.329039,1335,0.003966526594012976
1772225098.698555,1344,0.0033022863790392876
1772225098.738985,1345,0.006018662825226784
1772225098.821572,1347,0.006200111471116543
1772225098.862762,1348,0.005249449983239174
1772225098.98681,1351,0.013324950821697712
1772225099.030862,1352,0.009651079773902893
1772225099.115518,1354,0.005078083835542202
1772225099.28085,1358,0.004297307226806879
1772225099.364374,1360,0.003075397340580821
1772225099.533198,1364,0.00027963073807768524
1772225099.573742,1365,0.000334800744894892
1772225099.618168,1366,0.00021334590564947575
1772225099.663423,1367,0.00022005806386005133
1772225099.704552,1368,0.00014600544818677008
1772225099.877785,1372,0.0004151604662183672
1772225099.924727,1373,0.000316998572088778
1772225100.016136,1375,0.00020444118126761168
1772225100.063639,1376,0.00015643873484805226
1772225100.233117,1380,0.00011123457079520449
1772225100.437015,1385,0.00018530119268689305
1772225100.477531,1386,0.00017858378123492002
1772225100.644382,1390,0.00013327100896276534
1772225100.767667,1393,5.227981091593392e-05
1772225100.903219,1396,6.831251812400296e-05
1772225100.947326,1397,2.673358903848566e-05
1772225101.034993,1399,5.582037556450814e-05
1772225101.07902,1400,2.389305882388726e-05
1772225101.211766,1403,4.172233457211405e-05
