Vibrational ZPE	Polarizability	Dipole Moment	Adiabatic IE	Cohesive Energy	Molecular Mass	Number e-	Molecular Volume
13630.0	7.668	1.213	9.382	-5456000.0	106.7	52.0	98.06
14540.0	7.207	2.842	11.1	-4735.0	150.0	74.0	119.2
12390.0	6.396	2.324	11.05	-2867.0	82.5	42.0	91.28
9101.0	10.73	1.003	36840.0	-4955.0	238.0	114.0	161.1
12700.0	6.375	2.009	9.097	-3197.0	56.06	30.0	84.56
16920.0	6.297	3.781	10.85	-4251.0	98.06	50.0	100.1
17610.0	8.348	1.247	8.692	-3418.0	62.05	34.0	102.0
5950.0	5.371	1.675	11.63	-3204.0	110.0	54.0	87.04
19550.0	5.851	1.294	8.648	-3615.0	45.08	26.0	81.19
9244.0	6.507	2.429	11.12	-2913.0	118.5	58.0	99.49
17640.0	8.387	1.246	8.175	-3432.0	62.05	34.0	101.4
26280.0	8.07	2.0	10.15	-5385.0	76.11	42.0	114.8
10210.0	4.483	3.066	11.28	-2886.0	62.04	32.0	70.4
7324.0	9.011	1.248	10.15	-3615.0	231.9	108.0	135.3
13830.0	6.453	1.422	11.71	-4320.0	134.0	66.0	108.4
13190.0	7.346	1.803	21490.0	-4781.0	168.0	82.0	123.7
2438.0	8.718	0.5722	10.49	-1449.0	209.8	94.0	110.7
6150.0	7.828	0.8344	10.7	-3365.0	170.1	82.0	119.6
8928.0	8.896	1.388	22050.0	-4093.0	176.0	86.0	131.4
14790.0	7.197	0.94	18790.0	-4737.0	150.0	74.0	119.0
7455.0	6.108	0.1599	9.514	-2233.0	80.48	40.0	83.91
13240.0	8.329	2.469	26540.0	-4185.0	150.5	74.0	126.0
4516.0	1.407	1.854	12.57	-953.8	18.02	10.0	27.28
