number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units,params_optimizer,state
96,0.27647772431373596,2026-02-27 13:40:01.590594,2026-02-27 13:40:26.780142,0 days 00:00:25.189548,relu,4,0.1,0.005001717406377577,2,12,rmsprop,COMPLETE
97,0.28545711040496824,2026-02-27 13:40:26.794150,2026-02-27 13:40:49.377218,0 days 00:00:22.583068,relu,4,0.1,0.008905320625543396,2,12,rmsprop,COMPLETE
98,0.3120690792798996,2026-02-27 13:40:49.398625,2026-02-27 13:41:12.201915,0 days 00:00:22.803290,relu,4,0.1,0.00351456946701745,2,12,rmsprop,COMPLETE
99,0.3626555621623993,2026-02-27 13:41:12.215799,2026-02-27 13:41:38.737801,0 days 00:00:26.522002,relu,16,0.1,0.009917300807567636,2,8,rmsprop,COMPLETE
100,0.43536698520183564,2026-02-27 13:41:38.754918,2026-02-27 13:41:57.578624,0 days 00:00:18.823706,leaky_relu,4,0.2,0.006030358567988398,2,12,rmsprop,COMPLETE
101,0.2817609325051308,2026-02-27 13:41:57.596470,2026-02-27 13:42:20.744313,0 days 00:00:23.147843,relu,4,0.1,0.0073370712014297805,2,12,adam,COMPLETE
102,0.3074381351470947,2026-02-27 13:42:20.770141,2026-02-27 13:42:43.876819,0 days 00:00:23.106678,relu,4,0.1,0.009987599676429537,2,12,adam,COMPLETE
103,0.3228046953678131,2026-02-27 13:42:43.894310,2026-02-27 13:43:06.843495,0 days 00:00:22.949185,swish,4,0.1,0.008788030645298593,2,12,adam,COMPLETE
104,0.3308618351817131,2026-02-27 13:43:06.857789,2026-02-27 13:43:31.685372,0 days 00:00:24.827583,swish,4,0.1,0.007062022231744692,2,16,adam,COMPLETE
105,0.31679665446281435,2026-02-27 13:43:31.708901,2026-02-27 13:43:55.308248,0 days 00:00:23.599347,swish,4,0.1,0.005443591700439658,2,12,rmsprop,COMPLETE
106,0.4470317423343658,2026-02-27 13:43:55.323848,2026-02-27 13:44:23.486132,0 days 00:00:28.162284,relu,4,0.1,0.00437667384594281,2,4,adam,COMPLETE
107,0.36397101879119875,2026-02-27 13:44:23.511942,2026-02-27 13:44:43.528485,0 days 00:00:20.016543,leaky_relu,4,0.1,0.00825755766640526,2,16,sgd,COMPLETE
108,0.3497417151927948,2026-02-27 13:44:43.554701,2026-02-27 13:45:05.634212,0 days 00:00:22.079511,swish,8,0.0,0.006654802542957827,2,12,adam,COMPLETE
109,0.26292121559381487,2026-02-27 13:45:05.648102,2026-02-27 13:45:29.009256,0 days 00:00:23.361154,swish,4,0.1,0.008871516522039243,2,16,adam,COMPLETE
110,0.33919397592544553,2026-02-27 13:45:29.023013,2026-02-27 13:45:50.756045,0 days 00:00:21.733032,swish,4,0.1,0.005504646754190179,2,12,adam,COMPLETE
111,0.2769466549158096,2026-02-27 13:45:50.776982,2026-02-27 13:46:16.646851,0 days 00:00:25.869869,swish,4,0.1,0.009104371422179309,2,16,adam,COMPLETE
112,0.2892999529838562,2026-02-27 13:46:16.660769,2026-02-27 13:46:40.010407,0 days 00:00:23.349638,swish,4,0.1,0.007324320836224019,2,16,adam,COMPLETE
113,0.2987895905971527,2026-02-27 13:46:40.031332,2026-02-27 13:47:05.268144,0 days 00:00:25.236812,swish,4,0.1,0.009983728209663673,2,16,adam,COMPLETE
114,0.28721292316913605,2026-02-27 13:47:05.284272,2026-02-27 13:47:29.039031,0 days 00:00:23.754759,swish,4,0.1,0.0085527023849011,2,16,adam,COMPLETE
